Model,Best Parameters,Train AUC Score,Train Sensitivity,Train Specificity,Train Accuracy,Test AUC Score,Test Sensitivity,Test Specificity,Test Accuracy
LightGBM,"{'learning_rate': 0.1, 'n_estimators': 100}",1.0,1.0,1.0,1.0,0.9428571428571428,0.9428571428571428,0.6451612903225806,0.8514851485148515
GradientBoosting,"{'learning_rate': 0.1, 'n_estimators': 100}",1.0,1.0,1.0,1.0,0.9400921658986175,0.9428571428571428,0.6451612903225806,0.8514851485148515
AdaBoost,{'n_estimators': 50},0.9893553223388305,0.9478260869565217,0.9482758620689655,0.9479768786127167,0.9389400921658987,0.9571428571428572,0.6451612903225806,0.8613861386138614
HistGradientBoosting,{'max_iter': 100},1.0,1.0,1.0,1.0,0.9387096774193548,0.9714285714285714,0.7096774193548387,0.8910891089108911
XGBoost,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",0.9998500749625187,0.991304347826087,0.9827586206896551,0.9884393063583815,0.9308755760368663,0.9142857142857143,0.6129032258064516,0.8217821782178217
RandomForest,"{'max_depth': None, 'n_estimators': 100}",1.0,1.0,1.0,1.0,0.9246543778801842,0.9428571428571428,0.5483870967741935,0.8217821782178217
ExtraTrees,"{'max_depth': None, 'n_estimators': 100}",1.0,1.0,1.0,1.0,0.9170506912442398,0.9428571428571428,0.6774193548387096,0.8613861386138614
MLP,"{'hidden_layer_sizes': (100,)}",0.9665667166416793,0.9043478260869565,0.8793103448275862,0.8959537572254336,0.904147465437788,0.9142857142857143,0.6774193548387096,0.8415841584158416
Bagging,{'n_estimators': 10},0.9995502248875563,0.9739130434782609,1.0,0.9826589595375722,0.8827188940092165,0.9142857142857143,0.6774193548387096,0.8415841584158416
SVM,"{'C': 1.0, 'kernel': 'rbf'}",0.9395802098950524,0.9391304347826087,0.7586206896551724,0.8786127167630058,0.8617511520737327,0.8285714285714286,0.5161290322580645,0.7326732673267327
GaussianNB,{},0.9436281859070464,0.6173913043478261,0.9827586206896551,0.7398843930635838,0.8546082949308755,0.6571428571428571,0.8387096774193549,0.7128712871287128
QDA,{},0.9484257871064468,0.6347826086956522,0.9827586206896551,0.7514450867052023,0.8463133640552996,0.6714285714285714,0.8387096774193549,0.7227722772277227
KNN,{'n_neighbors': 5},0.9496251874062969,0.9043478260869565,0.896551724137931,0.9017341040462428,0.8163594470046084,0.8142857142857143,0.5806451612903226,0.7425742574257426
LogisticRegression,"{'C': 1.0, 'penalty': 'l2'}",0.9268365817091454,0.8782608695652174,0.8448275862068966,0.8670520231213873,0.8161290322580645,0.8571428571428571,0.6129032258064516,0.7821782178217822
BernoulliNB,{'alpha': 1.0},0.8930284857571213,0.7913043478260869,0.8448275862068966,0.8092485549132948,0.7513824884792626,0.6857142857142857,0.6451612903225806,0.6732673267326733
DecisionTree,{'max_depth': 10},1.0,1.0,1.0,1.0,0.706221198156682,0.9285714285714286,0.4838709677419355,0.7920792079207921
