Num_Features,AUC,Recall,Features,Best_Params
25,0.9741935483870968,0.7096774193548387,"['var4', 'var1', 'var42', 'var39', 'var3', 'var38', 'var43', 'var46', 'var30', 'var44', 'var53', 'var52', 'var37', 'var58', 'var14', 'var29', 'var32', 'var25', 'var50', 'var47', 'var59', 'var45', 'var6', 'var2', 'var24']","{'max_depth': 25, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 9, 'n_estimators': 376}"
24,0.9686635944700461,0.7741935483870968,"['var1', 'var42', 'var4', 'var39', 'var43', 'var3', 'var44', 'var53', 'var46', 'var29', 'var38', 'var59', 'var52', 'var30', 'var58', 'var47', 'var14', 'var32', 'var37', 'var45', 'var50', 'var2', 'var6', 'var25']","{'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 158}"
23,0.9732718894009218,0.6774193548387096,"['var4', 'var1', 'var42', 'var52', 'var39', 'var38', 'var46', 'var2', 'var43', 'var53', 'var14', 'var59', 'var58', 'var30', 'var37', 'var6', 'var3', 'var44', 'var50', 'var29', 'var47', 'var32', 'var45']","{'max_depth': 25, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 915}"
22,0.971889400921659,0.7096774193548387,"['var4', 'var42', 'var1', 'var39', 'var43', 'var38', 'var52', 'var53', 'var3', 'var14', 'var32', 'var46', 'var44', 'var30', 'var58', 'var47', 'var37', 'var59', 'var50', 'var29', 'var6', 'var2']","{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 9, 'n_estimators': 774}"
21,0.9732718894009217,0.7419354838709677,"['var1', 'var4', 'var42', 'var39', 'var43', 'var38', 'var52', 'var53', 'var46', 'var14', 'var58', 'var44', 'var29', 'var3', 'var37', 'var30', 'var6', 'var47', 'var32', 'var59', 'var50']","{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 8, 'n_estimators': 912}"
20,0.971889400921659,0.7741935483870968,"['var1', 'var42', 'var4', 'var39', 'var43', 'var52', 'var38', 'var3', 'var53', 'var58', 'var14', 'var29', 'var30', 'var46', 'var59', 'var50', 'var6', 'var44', 'var47', 'var32']","{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 8, 'n_estimators': 912}"
19,0.9589861751152073,0.6774193548387096,"['var1', 'var4', 'var42', 'var39', 'var38', 'var52', 'var3', 'var43', 'var14', 'var53', 'var46', 'var6', 'var29', 'var44', 'var30', 'var32', 'var59', 'var50', 'var47']","{'max_depth': 15, 'max_features': 'log2', 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 554}"
18,0.9668202764976959,0.7096774193548387,"['var1', 'var4', 'var42', 'var43', 'var38', 'var39', 'var52', 'var14', 'var3', 'var46', 'var59', 'var53', 'var44', 'var30', 'var29', 'var47', 'var32', 'var50']","{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 8, 'n_estimators': 912}"
17,0.96036866359447,0.7096774193548387,"['var1', 'var42', 'var4', 'var39', 'var38', 'var52', 'var3', 'var43', 'var14', 'var53', 'var50', 'var46', 'var44', 'var30', 'var47', 'var32', 'var59']","{'max_depth': 35, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 6, 'n_estimators': 918}"
16,0.9612903225806452,0.7096774193548387,"['var4', 'var1', 'var42', 'var38', 'var39', 'var53', 'var3', 'var46', 'var14', 'var43', 'var52', 'var50', 'var59', 'var44', 'var30', 'var32']","{'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 9, 'n_estimators': 230}"
15,0.9631336405529954,0.7419354838709677,"['var1', 'var4', 'var39', 'var42', 'var43', 'var38', 'var52', 'var3', 'var14', 'var59', 'var53', 'var46', 'var30', 'var44', 'var32']","{'max_depth': 35, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 7, 'n_estimators': 786}"
14,0.9658986175115207,0.7096774193548387,"['var1', 'var4', 'var39', 'var42', 'var43', 'var52', 'var14', 'var38', 'var3', 'var30', 'var53', 'var46', 'var59', 'var44']","{'max_depth': 15, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 7, 'n_estimators': 665}"
13,0.9649769585253456,0.7419354838709677,"['var1', 'var4', 'var42', 'var39', 'var52', 'var38', 'var43', 'var3', 'var53', 'var14', 'var46', 'var30', 'var44']","{'max_depth': 30, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 8, 'n_estimators': 373}"
12,0.9695852534562212,0.7419354838709677,"['var1', 'var4', 'var42', 'var39', 'var43', 'var3', 'var38', 'var53', 'var46', 'var14', 'var52', 'var44']","{'max_depth': 30, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 8, 'n_estimators': 206}"
11,0.9451612903225807,0.7419354838709677,"['var1', 'var4', 'var42', 'var39', 'var43', 'var3', 'var53', 'var38', 'var52', 'var44', 'var46']","{'max_depth': 35, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 8, 'n_estimators': 221}"
10,0.9511520737327189,0.7741935483870968,"['var1', 'var4', 'var42', 'var39', 'var38', 'var3', 'var43', 'var52', 'var44', 'var46']","{'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 158}"
