Feature,Mean_Absolute_SHAP
var1,0.13038050805602555
var4,0.07418328956227462
var42,0.026555908911126833
var3,0.025406554276319684
var39,0.02377585675864339
var38,0.022610597101796436
var52,0.021893855126007077
var43,0.021731227679523766
var44,0.020489762930638124
var14,0.017997489540963262
var53,0.014681659840038747
var46,0.01411279024676748
var29,0.011984163922317886
var58,0.011612735730823652
var47,0.01127504405538603
var59,0.01057016172461765
var30,0.009532362771271764
var50,0.006832747801193436
var37,0.005779097994075997
var2,0.003709129661722662
var32,0.003239232468756216
var6,0.002633542436236924
